,participant,technique_name,block_id,trial_id,cmd_input,cmd_name,cmd_frequency,time,success,strategy
0,0,audio,0,0,0,Pencil,72,29.317,1,0
1,0,audio,0,1,1,Banana,36,2.54,1,0
2,0,audio,0,2,2,Karate,24,3.304,1,0
3,0,audio,0,3,3,Strawberry,144,5.144,1,0
4,0,audio,0,4,1,Banana,36,3.039,1,0
5,0,audio,0,5,2,Karate,24,2.806,1,0
6,0,audio,0,6,3,Strawberry,144,2.197,1,0
7,0,audio,0,7,4,Cards,48,3.927,1,0
8,0,audio,0,8,5,Corn,24,3.772,1,0
9,0,audio,0,9,3,Strawberry,144,3.32,1,0
10,0,audio,0,10,4,Cards,48,9.555,1,0
11,0,audio,0,11,6,Mouse,24,3.57,1,0
12,0,audio,0,12,3,Strawberry,144,2.447,1,0
13,0,audio,0,13,4,Cards,48,4.193,1,0
14,0,audio,0,14,6,Mouse,24,2.245,1,0
15,0,audio,0,15,3,Strawberry,144,4.084,1,0
16,0,audio,0,16,4,Cards,48,8.011,0,1
17,0,audio,0,17,7,Coat,36,7.466,1,0
18,0,audio,0,18,8,Sweater,144,2.525,1,0
19,0,audio,0,19,0,Pencil,72,1.917,1,0
20,0,audio,0,20,3,Strawberry,144,10.692,1,0
21,0,audio,0,21,8,Sweater,144,2.416,1,0
22,0,audio,0,22,9,Garlic,48,2.245,1,0
23,0,audio,0,23,0,Pencil,72,1.964,1,0
24,0,audio,0,24,8,Sweater,144,1.979,1,0
25,0,audio,0,25,9,Garlic,48,2.915,1,0
26,0,audio,0,26,10,Frog,24,2.463,1,0
27,0,audio,0,27,8,Sweater,144,2.353,1,0
28,0,audio,0,28,9,Garlic,48,2.245,1,0
29,0,audio,0,29,10,Frog,24,1.995,1,0
30,0,audio,0,30,8,Sweater,144,16.007,1,0
31,0,audio,0,31,9,Garlic,48,3.304,1,0
32,0,audio,0,32,7,Coat,36,2.104,1,0
33,0,audio,0,33,0,Pencil,72,2.416,1,0
34,0,audio,0,34,3,Strawberry,144,2.463,1,0
35,0,audio,0,35,0,Pencil,72,2.868,1,0
36,0,audio,0,36,8,Sweater,144,2.276,1,0
37,0,audio,0,37,11,Dolphin,72,2.945,1,0
38,0,audio,0,38,8,Sweater,144,2.135,1,0
39,0,audio,0,39,8,Sweater,144,1.902,1,0
40,0,audio,0,40,11,Dolphin,72,6.375,1,0
41,0,audio,0,41,7,Coat,36,7.466,0,0
42,0,audio,0,42,8,Sweater,144,3.242,1,0
43,0,audio,0,43,11,Dolphin,72,2.182,1,0
44,0,audio,0,44,0,Pencil,72,2.353,1,0
45,0,audio,0,45,5,Corn,24,2.572,1,0
46,0,audio,0,46,11,Dolphin,72,6.733,0,0
47,0,audio,0,47,8,Sweater,144,1.901,1,0
48,0,audio,0,48,3,Strawberry,144,2.462,1,0
49,0,audio,0,49,11,Dolphin,72,2.307,1,0
50,0,audio,0,50,11,Dolphin,72,7.076,1,1
51,0,audio,0,51,3,Strawberry,144,2.852,1,0
52,0,audio,0,52,8,Sweater,144,2.618,1,0
53,0,audio,0,53,3,Strawberry,144,3.819,1,0
54,0,audio,0,54,1,Banana,36,2.743,1,0
55,0,audio,0,55,3,Strawberry,144,2.275,1,0
56,0,audio,0,56,12,Clock,12,3.133,1,0
57,0,audio,0,57,13,Camel,12,3.927,1,0
58,0,audio,0,58,8,Sweater,144,1.98,1,0
59,0,audio,0,59,3,Strawberry,144,2.089,1,0
60,0,audio,1,60,2,Karate,24,5.486,1,0
61,0,audio,1,61,0,Pencil,72,3.242,1,0
62,0,audio,1,62,1,Banana,36,1.761,1,0
63,0,audio,1,63,2,Karate,24,1.745,1,0
64,0,audio,1,64,3,Strawberry,144,1.699,1,0
65,0,audio,1,65,1,Banana,36,2.213,1,0
66,0,audio,1,66,0,Pencil,72,3.46,1,0
67,0,audio,1,67,3,Strawberry,144,2.228,1,0
68,0,audio,1,68,1,Banana,36,1.543,1,0
69,0,audio,1,69,3,Strawberry,144,1.777,1,0
70,0,audio,1,70,3,Strawberry,144,4.816,1,0
71,0,audio,1,71,4,Cards,48,2.135,1,0
72,0,audio,1,72,8,Sweater,144,1.777,1,0
73,0,audio,1,73,3,Strawberry,144,1.699,1,0
