,model,simulated parameters,fit parameters,simulation,A_RW,A_RW_r,B_RW,B_RW_r
0,RW,"{'A_RW': 0.21, 'B_RW': 1.03}","{'A_RW': 0.2, 'B_RW': 1.0}",0,0.21,0.2,1.03,1.0
0,RW,"{'A_RW': 0.21, 'B_RW': 0.6}","{'A_RW': 0.2, 'B_RW': 0.6}",1,0.21,0.2,0.6,0.6
0,RW,"{'A_RW': 0.65, 'B_RW': 1.39}","{'A_RW': 1.0, 'B_RW': 2.0}",2,0.65,1.0,1.39,2.0
0,RW,"{'A_RW': 0.2, 'B_RW': 1.35}","{'A_RW': 0.2, 'B_RW': 1.3}",3,0.2,0.2,1.35,1.3
0,RW,"{'A_RW': 0.75, 'B_RW': 0.65}","{'A_RW': 0.8, 'B_RW': 0.8}",4,0.75,0.8,0.65,0.8
0,RW,"{'A_RW': 0.45, 'B_RW': 1.93}","{'A_RW': 1.0, 'B_RW': 2.0}",5,0.45,1.0,1.93,2.0
0,RW,"{'A_RW': 0.54, 'B_RW': 0.72}","{'A_RW': 0.5, 'B_RW': 0.9}",6,0.54,0.5,0.72,0.9
0,RW,"{'A_RW': 0.27, 'B_RW': 1.07}","{'A_RW': 0.3, 'B_RW': 1.3}",7,0.27,0.3,1.07,1.3
0,RW,"{'A_RW': 0.77, 'B_RW': 0.59}","{'A_RW': 1.0, 'B_RW': 0.6}",8,0.77,1.0,0.59,0.6
0,RW,"{'A_RW': 0.6, 'B_RW': 1.91}","{'A_RW': 1.0, 'B_RW': 2.0}",9,0.6,1.0,1.91,2.0
0,RW,"{'A_RW': 0.73, 'B_RW': 1.14}","{'A_RW': 1.0, 'B_RW': 2.0}",10,0.73,1.0,1.14,2.0
0,RW,"{'A_RW': 0.85, 'B_RW': 1.23}","{'A_RW': 1.0, 'B_RW': 2.0}",11,0.85,1.0,1.23,2.0
0,RW,"{'A_RW': 0.47, 'B_RW': 1.62}","{'A_RW': 1.0, 'B_RW': 2.0}",12,0.47,1.0,1.62,2.0
0,RW,"{'A_RW': 0.44, 'B_RW': 1.78}","{'A_RW': 1.0, 'B_RW': 2.0}",13,0.44,1.0,1.78,2.0
0,RW,"{'A_RW': 0.91, 'B_RW': 1.66}","{'A_RW': 1.0, 'B_RW': 2.0}",14,0.91,1.0,1.66,2.0
0,RW,"{'A_RW': 0.84, 'B_RW': 1.32}","{'A_RW': 1.0, 'B_RW': 2.0}",15,0.84,1.0,1.32,2.0
0,RW,"{'A_RW': 0.43, 'B_RW': 0.88}","{'A_RW': 0.3, 'B_RW': 1.0}",16,0.43,0.3,0.88,1.0
0,RW,"{'A_RW': 0.89, 'B_RW': 0.82}","{'A_RW': 1.0, 'B_RW': 1.1}",17,0.89,1.0,0.82,1.1
0,RW,"{'A_RW': 0.12, 'B_RW': 1.03}","{'A_RW': 0.1, 'B_RW': 1.4}",18,0.12,0.1,1.03,1.4
0,RW,"{'A_RW': 0.61, 'B_RW': 1.3}","{'A_RW': 1.0, 'B_RW': 2.0}",19,0.61,1.0,1.3,2.0
0,RW,"{'A_RW': 0.94, 'B_RW': 0.47}","{'A_RW': 1.0, 'B_RW': 0.6}",20,0.94,1.0,0.47,0.6
0,RW,"{'A_RW': 0.25, 'B_RW': 0.64}","{'A_RW': 0.2, 'B_RW': 0.6}",21,0.25,0.2,0.64,0.6
0,RW,"{'A_RW': 0.57, 'B_RW': 1.32}","{'A_RW': 1.0, 'B_RW': 2.0}",22,0.57,1.0,1.32,2.0
0,RW,"{'A_RW': 0.86, 'B_RW': 0.9}","{'A_RW': 1.0, 'B_RW': 1.1}",23,0.86,1.0,0.9,1.1
0,RW,"{'A_RW': 0.93, 'B_RW': 0.69}","{'A_RW': 1.0, 'B_RW': 0.8}",24,0.93,1.0,0.69,0.8
0,RW,"{'A_RW': 0.98, 'B_RW': 0.47}","{'A_RW': 1.0, 'B_RW': 0.4}",25,0.98,1.0,0.47,0.4
0,RW,"{'A_RW': 0.19, 'B_RW': 0.46}","{'A_RW': 0.2, 'B_RW': 0.5}",26,0.19,0.2,0.46,0.5
0,RW,"{'A_RW': 0.86, 'B_RW': 0.51}","{'A_RW': 0.8, 'B_RW': 0.6}",27,0.86,0.8,0.51,0.6
0,RW,"{'A_RW': 0.18, 'B_RW': 0.15}","{'A_RW': 0.1, 'B_RW': 0.2}",28,0.18,0.1,0.15,0.2
0,RW,"{'A_RW': 0.42, 'B_RW': 1.06}","{'A_RW': 0.7, 'B_RW': 2.0}",29,0.42,0.7,1.06,2.0
