,participant,model,k,parameter names,parameter values,log likelihood,BIC
0,2,Random,1,THETA,{'THETA': 0.73},-549.1,1818.2
1,2,CK,2,"A_CK,B_CK","{'A_CK': 0.56, 'B_CK': 2.0}",-301.6,2043.2
2,2,RW,2,"A_RW,B_RW","{'A_RW': 0.1, 'B_RW': 0.98}",-261.7,1963.4
3,2,RWCK,4,"A_RW,B_RW,A_CK,B_CK","{'A_RW': 0.06, 'B_RW': 0.65, 'A_CK': 0.56, 'B_CK': 2.0}",-201.5,3283.0
4,4,Random,1,THETA,{'THETA': 0.89},-295.4,1310.8
5,4,CK,2,"A_CK,B_CK","{'A_CK': 0.58, 'B_CK': 2.0}",-275.1,1990.2
6,4,RW,2,"A_RW,B_RW","{'A_RW': 0.04, 'B_RW': 2.0}",-173.5,1787.0
7,4,RWCK,4,"A_RW,B_RW,A_CK,B_CK","{'A_RW': 0.02, 'B_RW': 2.0, 'A_CK': 0.6, 'B_CK': 1.84}",-152.0,3184.0
8,5,Random,1,THETA,{'THETA': 0.69},-599.8,1919.6
9,5,CK,2,"A_CK,B_CK","{'A_CK': 0.62, 'B_CK': 2.0}",-371.3,2182.6
10,5,RW,2,"A_RW,B_RW","{'A_RW': 0.06, 'B_RW': 0.61}",-492.9,2425.8
11,5,RWCK,4,"A_RW,B_RW,A_CK,B_CK","{'A_RW': 0.02, 'B_RW': 0.44, 'A_CK': 0.65, 'B_CK': 2.0}",-327.1,3534.2
12,10,Random,1,THETA,{'THETA': 0.01},-506.3,1732.6
13,10,CK,2,"A_CK,B_CK","{'A_CK': 0.99, 'B_CK': 2.0}",-184.6,1809.2
14,10,RW,2,"A_RW,B_RW","{'A_RW': 0.38, 'B_RW': 1.53}",-22.1,1484.2
15,10,RWCK,4,"A_RW,B_RW,A_CK,B_CK","{'A_RW': 0.26, 'B_RW': 1.52, 'A_CK': 0.99, 'B_CK': 2.0}",-17.2,2914.4
16,11,Random,1,THETA,{'THETA': 0.64},-651.1,2022.2
17,11,CK,2,"A_CK,B_CK","{'A_CK': 0.6, 'B_CK': 2.0}",-277.6,1995.2
18,11,RW,2,"A_RW,B_RW","{'A_RW': 0.66, 'B_RW': 0.93}",-354.0,2148.0
19,11,RWCK,4,"A_RW,B_RW,A_CK,B_CK","{'A_RW': 0.77, 'B_RW': 0.45, 'A_CK': 0.52, 'B_CK': 2.0}",-198.1,3276.2
